amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	item-extensions-data	points-granted	is-business-order	purchase-order-number	price-designation	buyer-company-name	customized-url	customized-page	is-replacement-order	is-exchange-order	original-order-id	licensee-name	license-number	license-state	license-expiration-date	is-transparency	default-ship-from-address-name	default-ship-from-address-field-1	default-ship-from-address-field-2	default-ship-from-address-field-3	default-ship-from-city	default-ship-from-state	default-ship-from-country	default-ship-from-postal-code	actual-ship-from-address-name	actual-ship-from-address-field-1	actual-ship-from-address-field-2	actual-ship-from-address-field-3	actual-ship-from-city	actual-ship-from-state	actual-ship-from-country	actual-ship-from-postal-code	is-ispu-order	store-chain-store-id	is-buyer-requested-cancellation	buyer-requested-cancel-reason	ioss-number	serial-numbers	is-shipping-settings-automation-enabled	ssa-carrier	ssa-ship-method 
503-4030248-5834264	503-4030248-5834264	2023-07-20T22:33:26+09:00	2023-07-21T02:15:39+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Shipped			1	JPY	1380.0	102.0								福島県	976-0052	JP		Standard		14	false						false	false						false																	false		false				false		
250-4615653-9990222	250-4615653-9990222	2023-07-20T22:19:00+09:00	2023-07-21T18:00:30+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ	DU-P06F-VJBB	B07RTHQ2KZ		Shipped			1	JPY	2380.0	176.0								神奈川県	227-0036	JP		Standard		24	false						false	false						false																	false		false				false		
249-3234417-5849427	249-3234417-5849427	2023-07-20T21:49:49+09:00	2023-07-22T04:46:28+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セ 	JW-V3Y7-VVWA	B0888BTMJQ		Shipped			1	JPY	1380.0	102.0								奈良県	630-0222	JP		Standard		14	false						false	false						false																	false		false				false		
249-0488669-6267066	249-0488669-6267066	2023-07-20T20:06:40+09:00	2023-07-22T00:08:59+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ	M5-KPD9-RB5V	B07RP581QF		Shipped			1	JPY	2380.0	176.0	58.0	5.0				58.0		大阪府	537-0012	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		24	false						false	false						false																	false		false				false		
250-3706174-9033406	250-3706174-9033406	2023-07-20T19:13:44+09:00	2023-07-21T10:00:42+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーター 	LD-I0VS-L6WL	B07ZDF918T		Shipped			1	JPY	1880.0	139.0								大阪府	582-0001	JP		Standard		19	false						false	false						false																	false		false				false		
503-4088829-8667814		2023-07-20T18:35:13+09:00	2023-07-22T13:50:37+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】B044 HUAWEI P30/P30 lite/P30 Pro/P20/P20 lite/P20 Pro/ P10 / P10 Plusカメラ保護ガラスフィルム 全面保護 耐衝撃 指紋防止 気泡ゼロ スクラッチ防止 超薄型 2枚セット (P30 Pro)	EA-JJS3-3HNI	B07X14JPV4	1	Shipped			1	JPY	498.0	37.0								北海道	006-0050	JP		Standard		5	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
249-1406856-2057428	249-1406856-2057428	2023-07-20T14:12:48+09:00	2023-07-20T23:19:41+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Shipped			1	JPY	718.0	53.0								神奈川県	215-0003	JP		Standard		7	false						false	false						false																	false		false				false		
503-0729173-0280657	503-0729173-0280657	2023-07-20T11:11:09+09:00	2023-07-20T16:29:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Shipped			1	JPY	1380.0	102.0								群馬県	373-0847	JP		Standard		14	false						false	false						false																	false		false				false		
503-0635697-8003832	503-0635697-8003832	2023-07-20T11:05:59+09:00	2023-07-20T18:23:08+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊	LW-8PD5-8DC1	B07RS9PZVZ		Shipped			1	JPY	2180.0	161.0								宮城県	983-0005	JP		Standard		22	false						false	false						false																	false		false				false		
249-0755669-8034206	249-0755669-8034206	2023-07-20T08:32:21+09:00	2023-07-23T05:15:17+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Shipped			1	JPY	718.0	53.0	69.0	6.0				69.0		愛知県	476-0003	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		7	false						false	false						false																	false		false				false		
249-9781134-0930211	249-9781134-0930211	2023-07-20T08:22:34+09:00	2023-07-20T22:15:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, x_l)	PZ-MY3D-O8VJ	B07RRJ3FXS		Shipped			1	JPY	1380.0	102.0								兵庫県	662-0027	JP		Standard		14	false						false	false						false																	false		false				false		
503-0755554-1670217	503-0755554-1670217	2023-07-20T02:10:14+09:00	2023-07-21T05:51:48+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防	CZ-F8XU-0AJY	B0B1VPF2MH		Shipped			1	JPY	2480.0	184.0								東京都	151-0073	JP		Standard		25	false						false	false						false																	false		false				false		
249-3841727-7215863	249-3841727-7215863	2023-07-20T00:41:01+09:00	2023-07-20T23:32:07+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Shipped			1	JPY	718.0	53.0								新潟県	940-1142	JP		Standard		7	false						false	false						false																	false		false				false		
503-5046425-5155030	503-5046425-5155030	2023-07-19T21:57:08+09:00	2023-07-20T15:29:51+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M		Shipped			1	JPY	718.0	53.0								福岡県	803-0833	JP		Standard		7	false						false	false						false																	false		false				false		
503-5046425-5155030	503-5046425-5155030	2023-07-19T21:57:08+09:00	2023-07-20T15:29:51+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Shipped			1	JPY	718.0	53.0								福岡県	803-0833	JP		Standard		7	false						false	false						false																	false		false				false		
250-5202481-4883868		2023-07-19T15:57:26+09:00	2023-07-20T16:56:36+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	1	Shipped			1	JPY	1280.0	95.0								兵庫県	654-0141	JP		Standard		13	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
249-0069347-6888637	249-0069347-6888637	2023-07-19T07:08:14+09:00	2023-07-19T15:54:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, ブルー)	TG-10BG-Z2R9	B07RP6WZZR		Shipped			1	JPY	2380.0	176.0								静岡県	432-8024	JP		Standard		24	false						false	false						false																	false		false				false		
503-2843288-9210237	503-2843288-9210237	2023-07-18T23:10:55+09:00	2023-07-19T14:48:59+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M		Shipped			1	JPY	718.0	53.0								滋賀県	520-3035	JP		Standard		7	false						false	false						false																	false		false				false		
503-0902782-8068627	503-0902782-8068627	2023-07-18T21:27:11+09:00	2023-07-19T13:15:00+09:00	Shipped	Amazon	Amazon.co.jp			Standard	[enbihouse] 【Smart-Bear】T014 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レイン	JH-BRB8-8A64	B0BY6Y2T26		Shipped			1	JPY	2980.0	221.0	205.0	19.0				205.0		大阪府	536-0022	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		30	false						false	false						false																	false		false				false		
250-7799822-5142233	250-7799822-5142233	2023-07-18T20:22:47+09:00	2023-07-19T16:47:45+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Shipped			1	JPY	718.0	53.0								群馬県	379-2304	JP		Standard		7	false						false	false						false																	false		false				false		
249-7086853-9587800	249-7086853-9587800	2023-07-18T17:32:43+09:00	2023-07-20T05:07:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可 	DH-BSJW-QLKQ	B093G83MXN		Shipped			1	JPY	1280.0	95.0								東京都	176-0011	JP		Standard		13	false						false	false						false																	false		false				false		
249-7481152-5975804	249-7481152-5975804	2023-07-18T16:45:00+09:00	2023-07-21T05:17:35+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7		Shipped			1	JPY	1580.0	117.0								東京都	157-0071	JP		Standard		16	false						false	false						false																	false		false				false		
249-4983151-1055817		2023-07-18T15:42:35+09:00	2023-07-18T18:49:04+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	1	Shipped			1	JPY	1280.0	95.0								群馬県	375-0001	JP		Standard		13	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
250-7398593-8113426	250-7398593-8113426	2023-07-18T11:49:29+09:00	2023-07-19T20:51:38+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	SI-EW2B-SYU1	B07RRD55DH		Shipped			2	JPY	3960.0	294.0								東京都	182-0036	JP		Standard		40	false						false	false						false																	false		false				false		
250-1718179-5470237	250-1718179-5470237	2023-07-18T10:11:20+09:00	2023-07-19T01:13:11+09:00	Cancelled	Amazon	Amazon.co.jp			Standard	[Smart-Bear] W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セ 	Y0-3WF8-8RHS	B093G52XGN		Cancelled			0											東京都	144-0051	JP		Standard			false						false	false						false																	false		false				false		
503-6778934-1630235		2023-07-18T02:07:08+09:00	2023-07-18T18:49:29+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	1	Shipped			1	JPY	1280.0	95.0								山口県	750-0084	JP		Standard		13	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
250-1182183-9909435		2023-07-17T19:48:17+09:00	2023-07-18T18:48:41+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	1	Shipped			1	JPY	1280.0	95.0								茨城県	311-4152	JP		Standard		13	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
250-3380644-8431028		2023-07-17T17:43:41+09:00	2023-07-17T19:02:49+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	1	Shipped			1	JPY	1280.0	95.0								神奈川県	240-0046	JP		Standard		13	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
503-5795434-6516658	503-5795434-6516658	2023-07-17T16:19:49+09:00	2023-07-18T06:08:54+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7		Shipped			1	JPY	1580.0	117.0								大阪府	558-0022	JP		Standard		16	false						false	false						false																	false		false				false		
503-3305489-4091807	503-3305489-4091807	2023-07-17T15:51:36+09:00	2023-07-18T15:42:02+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	SI-EW2B-SYU1	B07RRD55DH		Shipped			1	JPY	1980.0	147.0								東京都	162-0852	JP		Standard		20	false						false	false						false																	false		false				false		
250-6806743-5524612	250-6806743-5524612	2023-07-17T13:31:12+09:00	2023-07-19T08:59:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M		Shipped			1	JPY	718.0	53.0								埼玉県	331-0805	JP		Standard		7	false						false	false						false																	false		false				false		
503-3663958-9578255	503-3663958-9578255	2023-07-17T13:17:08+09:00	2023-07-18T02:21:19+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	T8-FSOJ-B0V1	B07C7PVL42		Shipped			1	JPY	718.0	53.0								岩手県	029-0803	JP		Standard		7	false						false	false						false																	false		false				false		
