amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	item-extensions-data	points-granted	is-business-order	purchase-order-number	price-designation	buyer-company-name	customized-url	customized-page	is-replacement-order	is-exchange-order	original-order-id	licensee-name	license-number	license-state	license-expiration-date	is-transparency	default-ship-from-address-name	default-ship-from-address-field-1	default-ship-from-address-field-2	default-ship-from-address-field-3	default-ship-from-city	default-ship-from-state	default-ship-from-country	default-ship-from-postal-code	actual-ship-from-address-name	actual-ship-from-address-field-1	actual-ship-from-address-field-2	actual-ship-from-address-field-3	actual-ship-from-city	actual-ship-from-state	actual-ship-from-country	actual-ship-from-postal-code	is-ispu-order	store-chain-store-id	is-buyer-requested-cancellation	buyer-requested-cancel-reason	ioss-number	serial-numbers	is-shipping-settings-automation-enabled	ssa-carrier	ssa-ship-method 
503-0760507-7154204	503-0760507-7154204	2023-10-07T11:16:35+09:00	2023-10-07T11:16:41+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)	QU-WN46-REY2	B07RRJ2MLN		Unshipped			1	JPY	1580.0									Shiga-ken	520-3313	JP		Standard		16	false						false	false						false																	false		false				false		
249-5841571-9075025	249-5841571-9075025	2023-10-07T07:34:40+09:00	2023-10-07T11:19:24+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防	MD-6D6Z-EUFT	B0B1VQ33GC		Shipped			1	JPY	2480.0	184.0								兵庫県	657-0811	JP		Standard		25	false						false	false						false																	false		false				false		
503-7856905-2409458	503-7856905-2409458	2023-10-07T06:43:49+09:00	2023-10-07T06:43:54+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	C8-VY3A-HL06	B07RRJ5TNV		Unshipped			1	JPY	1580.0									愛知県	480-0146	JP		Standard		16	false						false	false						false																	false		false				false		
503-6023150-2096665	503-6023150-2096665	2023-10-07T06:40:38+09:00	2023-10-07T06:40:43+09:00	Pending	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Unshipped			1	JPY	718.0									福岡県	803-0835	JP		Standard		7	false						false	false						false																	false		false				false		
503-1657584-1343816	503-1657584-1343816	2023-10-07T06:23:29+09:00	2023-10-07T06:26:55+09:00	Cancelled	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Cancelled			0											福岡県	803-0835	JP		Standard			false						false	false						false																	false		false				false		
250-2443222-3264619	250-2443222-3264619	2023-10-07T03:06:17+09:00	2023-10-07T10:20:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ 	B1-V2N2-J8BN	B077VSSFGH		Shipped			1	JPY	1380.0	102.0								大阪府	595-0811	JP		Standard		14	false						false	false						false																	false		false				false		
249-4082067-1437463	249-4082067-1437463	2023-10-07T01:00:38+09:00	2023-10-07T01:02:25+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV		Unshipped			1	JPY	1380.0									東京都	121-0062	JP		Standard		14	false						false	false						false																	false		false				false		
250-4448912-2911832	250-4448912-2911832	2023-10-07T00:37:10+09:00	2023-10-07T00:37:14+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー 	9N-8MWL-FE1O	B09NSMTXTY		Unshipped			1	JPY	2580.0									大阪府	586-0084	JP		Standard, CashOnDelivery		26	false						false	false						false																	false		false				false		
503-0861382-4168603	503-0861382-4168603	2023-10-06T23:15:50+09:00	2023-10-07T05:06:23+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーター 	LD-I0VS-L6WL	B07ZDF918T		Unshipped			1	JPY	1880.0	139.0								愛知県	444-0073	JP		Standard		19	false						false	false						false																	false		false				false		
249-8793275-2868638	249-8793275-2868638	2023-10-06T23:06:37+09:00	2023-10-07T05:59:44+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ	D7-IW96-J4L1	B07RQ4V5TL		Shipped			1	JPY	2380.0	176.0								北海道	003-0834	JP		Standard		24	false						false	false						false																	false		false				false		
250-9146269-2012645	250-9146269-2012645	2023-10-06T22:53:11+09:00	2023-10-06T22:53:16+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー 	P0-UT25-UFX6	B07ZDDDCCZ		Unshipped			1	JPY	2580.0									神奈川県	235-0033	JP		Standard		26	false						false	false						false																	false		false				false		
250-9146269-2012645	250-9146269-2012645	2023-10-06T22:53:11+09:00	2023-10-06T22:53:16+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホー 	XP-0S2T-TY8Z	B07ZDCJ8VZ		Unshipped			1	JPY	2580.0									神奈川県	235-0033	JP		Standard		26	false						false	false						false																	false		false				false		
