amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	item-extensions-data	points-granted	is-business-order	purchase-order-number	price-designation	buyer-company-name	customized-url	customized-page	is-replacement-order	is-exchange-order	original-order-id	licensee-name	license-number	license-state	license-expiration-date	is-transparency	default-ship-from-address-name	default-ship-from-address-field-1	default-ship-from-address-field-2	default-ship-from-address-field-3	default-ship-from-city	default-ship-from-state	default-ship-from-country	default-ship-from-postal-code	actual-ship-from-address-name	actual-ship-from-address-field-1	actual-ship-from-address-field-2	actual-ship-from-address-field-3	actual-ship-from-city	actual-ship-from-state	actual-ship-from-country	actual-ship-from-postal-code	is-ispu-order	store-chain-store-id	is-buyer-requested-cancellation	buyer-requested-cancel-reason	ioss-number	serial-numbers	is-shipping-settings-automation-enabled	ssa-carrier	ssa-ship-method 
503-4273646-1643069	503-4273646-1643069	2023-04-24T20:58:25+09:00	2023-04-24T20:58:30+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	CT-Q374-BJ1E	B089Y5Q82W		Unshipped			1	JPY	2580.0									岩手県	027-0096	JP		Standard		26	false						false	false						false																	false		false				false		
250-6225206-5939829	250-6225206-5939829	2023-04-24T20:40:13+09:00	2023-04-24T20:40:18+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らか 	8L-YZ5B-QMPT	B0829T2RHN		Unshipped			1	JPY	1580.0									広島県	737-0141	JP		Standard		16	false						false	false						false																	false		false				false		
250-7626117-6181410	250-7626117-6181410	2023-04-24T20:20:55+09:00	2023-04-24T20:21:00+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (純色- 	1X-DIVO-2ZYZ	B088D9FFCY		Unshipped			1	JPY	1380.0									静岡県	411-0024	JP		Standard		14	false						false	false						false																	false		false				false		
503-1036756-0447066	503-1036756-0447066	2023-04-24T20:19:30+09:00	2023-04-24T20:19:34+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロ	DU-P06F-VJBB	B07RTHQ2KZ		Unshipped			1	JPY	2380.0									兵庫県	654-0122	JP		Standard		24	false						false	false						false																	false		false				false		
250-9464248-6659806	250-9464248-6659806	2023-04-24T19:15:04+09:00	2023-04-24T19:15:08+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	X8-MI20-UUAX	B07K5S3KNK		Unshipped			1	JPY	1780.0									愛知県	454-0997	JP		Standard		18	false						false	false						false																	false		false				false		
250-1916455-3809419	250-1916455-3809419	2023-04-24T18:09:17+09:00	2023-04-24T18:09:24+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホ 	YV-GX4F-U1JK	B077VSN4H6		Unshipped			1	JPY	1380.0									広島県	722-0215	JP		Standard		14	false						false	false						false																	false		false				false		
503-2902562-8939011		2023-04-24T17:15:34+09:00	2023-04-24T17:21:17+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-Bear】O024 Kindle(第10世代 2019年) ケース 超薄 軽量 保護カバー オートスリープ機能付き 耐久性 耐衝撃 落下防止 (レッド)	C9-6YYC-ZB4Z	B0B9P36CR8	1	Unshipped			1	JPY	999.0	74.0								東京都	184-0015	JP		Standard		10	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051									false		false				true	郵便局	クリックポスト
503-3802132-5902268	503-3802132-5902268	2023-04-24T12:54:56+09:00	2023-04-24T17:17:24+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ 	PK-LF7F-7NQF	B077VTPBC2		Shipped			1	JPY	1380.0	102.0								静岡県	432-8002	JP		Standard		14	false						false	false						false																	false		false				false		
250-1794615-8063040	250-1794615-8063040	2023-04-24T11:22:22+09:00	2023-04-24T11:22:27+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	NR-5Z4P-2YBS	B07RNDMDMY		Unshipped			1	JPY	1380.0									埼玉県	333-0801	JP		Standard		14	false						false	false						false																	false		false				false		
249-7738444-8600618	249-7738444-8600618	2023-04-24T10:28:44+09:00	2023-04-24T10:28:48+09:00	Pending	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブ 	PK-LF7F-7NQF	B077VTPBC2		Unshipped			1	JPY	1380.0									千葉県	272-0821	JP		Standard		14	false						false	false						false																	false		false				false		
503-5653488-2503043	503-5653488-2503043	2023-04-24T08:43:15+09:00	2023-04-24T11:17:58+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV		Shipped			1	JPY	1380.0	102.0								埼玉県	343-0011	JP		Standard		14	false						false	false						false																	false		false				false		
503-1986555-3226252	503-1986555-3226252	2023-04-24T08:12:47+09:00	2023-04-24T08:12:51+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	Z1-3OLT-QHNT	B089Y1Z47W		Unshipped			1	JPY	2580.0									山口県	7430022	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		26	false						false	false						false																	false		false				false		
250-0740453-9502205	250-0740453-9502205	2023-04-24T07:04:55+09:00	2023-04-24T17:12:57+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XXL)	94-5N7D-MKR8	B07K5SNL5L		Shipped			1	JPY	1980.0	147.0								東京都	157-0074	JP		Standard		20	false						false	false						false																	false		false				false		
249-7099737-4644631	249-7099737-4644631	2023-04-24T02:35:27+09:00	2023-04-24T15:15:39+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	CB-0QZI-OQCR	B07RRCXLD1		Shipped			1	JPY	1980.0	147.0								東京都	178-0064	JP		Standard		20	false						false	false						false																	false		false				false		
249-7099737-4644631	249-7099737-4644631	2023-04-24T02:35:27+09:00	2023-04-24T15:15:39+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	SI-EW2B-SYU1	B07RRD55DH		Shipped			1	JPY	1980.0	147.0								東京都	178-0064	JP		Standard		20	false						false	false						false																	false		false				false		
249-3539313-3717409	249-3539313-3717409	2023-04-24T02:34:02+09:00	2023-04-24T02:34:29+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	CB-0QZI-OQCR	B07RRCXLD1		Cancelled			0											東京都	181-8585	JP		Standard			false						false	false						false																	false		false				false		
249-3539313-3717409	249-3539313-3717409	2023-04-24T02:34:02+09:00	2023-04-24T02:34:29+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ  	SI-EW2B-SYU1	B07RRD55DH		Cancelled			0											東京都	181-8585	JP		Standard			false						false	false						false																	false		false				false		
250-7623202-7456658	250-7623202-7456658	2023-04-24T01:53:32+09:00	2023-04-24T17:13:09+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	N9-GB8J-KI9M	B07K5S9ZFC		Shipped			1	JPY	1780.0	132.0								東京都	182-0023	JP		Standard		18	false						false	false						false																	false		false				false		
250-6936306-0724606	250-6936306-0724606	2023-04-24T01:17:26+09:00	2023-04-24T11:06:59+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M		Shipped			2	JPY	1436.0	106.0								兵庫県	657-0018	JP		Standard		14	false						false	false						false																	false		false				false		
249-1188007-1272669	249-1188007-1272669	2023-04-23T23:53:10+09:00	2023-04-23T23:53:19+09:00	Pending	Amazon	Amazon.co.jp			Standard	[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	M9-RIG5-DRKF	B07SV1BD6S		Unshipped			1	JPY	1480.0									岐阜県	502-0934	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		15	false						false	false						false																	false		false				false		
249-2981263-9851036	249-2981263-9851036	2023-04-23T23:21:39+09:00	2023-04-24T05:37:52+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	97-W48L-K89A	B07C7JX67Y		Shipped			1	JPY	718.0	53.0								埼玉県	359-1111	JP		Standard		7	false						false	false						false																	false		false				false		
249-6208384-3229433	249-6208384-3229433	2023-04-23T23:17:52+09:00	2023-04-24T15:14:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	JQ-MLRE-AH9L	B07C7NS57M		Shipped			1	JPY	718.0	53.0								神奈川県	237-0063	JP		Standard		7	false						false	false						false																	false		false				false		
250-5048476-5501458	250-5048476-5501458	2023-04-23T22:47:56+09:00	2023-04-24T21:13:58+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク,	MA-QSR9-916V	B0782PTKL2		Shipped			1	JPY	1780.0	132.0			314	29				愛知県	460-0007	JP		Standard		18	false						false	false						false																	false		false				false		
249-8872957-9402227		2023-04-23T21:37:32+09:00	2023-04-24T13:44:21+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)	O6-48G1-BEO9	B077WKV76K	1	Shipped			1	JPY	1280.0	95.0								静岡県	425-0082	JP		Standard		13	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
503-1348158-7285453	503-1348158-7285453	2023-04-23T21:25:18+09:00	2023-04-23T21:25:23+09:00	Pending	Amazon	Amazon.co.jp			Standard	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ 	HM-5URZ-2K38	B07C7KGKBH		Unshipped			1	JPY	718.0									山口県	742-0021	JP	JP Core Free Shipping  2016/03/29 6-38-40-593	Standard		7	false						false	false						false																	false		false				false		
249-5616726-0062237	249-5616726-0062237	2023-04-23T21:18:10+09:00	2023-04-24T15:03:36+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーター 	HR-B1DE-AHZ2	B07ZDDL9MM		Shipped			1	JPY	1880.0	139.0								愛媛県	799-0101	JP		Standard		19	false						false	false						false																	false		false				false		
250-0721305-0271808	250-0721305-0271808	2023-04-23T21:07:05+09:00	2023-04-24T02:09:08+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊	AF-0BOJ-58FU	B07RP5RVVV		Shipped			1	JPY	2180.0	161.0								埼玉県	340-0206	JP		Standard		22	false						false	false						false																	false		false				false		
249-5997422-4187854		2023-04-23T21:01:26+09:00	2023-04-24T13:50:35+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-Bear】O022 Kindle Paperwhite(第10世代 2018年) ケース 超薄 軽量 保護カバー オートスリープ機能付き 耐久性 耐衝撃 落下防止 (深いブルー)	EQ-WA5K-9R2V	B0B9P3N38Z	1	Shipped			1	JPY	999.0	74.0								神奈川県	225-0021	JP		Standard		10	false						false	false						false	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	Smart-Bear	３－１－３７－４１１号室			北区浮間	東京都	JP	115-0051	false		false				true	郵便局	クリックポスト
249-0239231-5835820	249-0239231-5835820	2023-04-23T20:52:10+09:00	2023-04-24T05:25:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク,	FQ-TZLP-HWK1	B0782RGD4B		Shipped			1	JPY	1780.0	132.0								長崎県	852-8023	JP		Standard		18	false						false	false						false																	false		false				false		
249-4733457-2682246	249-4733457-2682246	2023-04-23T20:06:20+09:00	2023-04-24T14:33:35+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロ 	53-C8NZ-UF4D	B0786KYY7Y		Shipped			1	JPY	1780.0	132.0								広島県	732-0068	JP		Standard		18	false						false	false						false																	false		false				false		
503-7610023-8463841	503-7610023-8463841	2023-04-23T20:02:41+09:00	2023-04-24T17:36:02+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	3T-Y9S7-7048	B07RNDP5VC		Shipped			1	JPY	1380.0	102.0								神奈川県	252-0804	JP		Standard		14	false						false	false						false																	false		false				false		
249-6709866-2245443	249-6709866-2245443	2023-04-23T19:01:20+09:00	2023-04-23T19:02:50+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした  	8I-RTUV-OM87	B09QHX365G		Unshipped			1	JPY	1280.0									栃木県	320-0061	JP		Standard		13	false						false	false						false																	false		false				false		
250-5298797-9564616	250-5298797-9564616	2023-04-23T17:35:49+09:00	2023-04-23T23:37:27+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク,	FQ-TZLP-HWK1	B0782RGD4B		Shipped			1	JPY	1780.0	132.0								愛知県	464-0850	JP		Standard		18	false						false	false						false																	false		false				false		
250-5096246-1411816	250-5096246-1411816	2023-04-23T16:26:33+09:00	2023-04-24T02:07:52+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, L)	E5-S2IA-ES96	B07K5SBZLJ		Shipped			1	JPY	1780.0	132.0					90.0			岡山県	700-0984	JP	購入割引 2019/08/30 7-48-17-928	Standard		18	false						false	false						false																	false		false				false		
250-5096246-1411816	250-5096246-1411816	2023-04-23T16:26:33+09:00	2023-04-24T02:07:52+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	EQ-E9S7-QXE3	B07K5QMCP2		Shipped			1	JPY	1780.0	132.0					88.0			岡山県	700-0984	JP	購入割引 2019/08/30 7-48-17-928	Standard		18	false						false	false						false																	false		false				false		
249-2978935-7564661	249-2978935-7564661	2023-04-23T15:46:20+09:00	2023-04-23T23:16:01+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7		Shipped			1	JPY	1580.0	117.0								広島県	737-0806	JP		Standard		16	false						false	false						false																	false		false				false		
